File_Name, Mean_Temperature, Std_Deviation
FACL_4p21_2_8_stabConv.root, 28.38, 0.05
FACL_4p01_2_1_stabConv.root, 25.20, 0.17
FACL_4p04_2_1_stabConv.root, 27.89, 0.10
FACL_4p02_2_1_stabConv.root, 28.05, 0.08
FACL_4p13_2_1_stabConv.root, 23.83, 0.14
FACL_4p27_2_1_stabConv.root, 25.04, 0.12
FACL_4p11_2_1_stabConv.root, 25.37, 0.24
FACL_4p14_2_1_stabConv.root, 26.57, 0.26
FACL_4p19_2_1_stabConv.root, 26.63, 0.08
FACL_4p24_2_1_stabConv.root, 24.41, 0.11
FACL_4p08_2_1_stabConv.root, 27.24, 0.12
FACL_4p22_2_3_stabConv.root, 27.55, 0.09
FACL_4p06_2_1_stabConv.root, 25.75, 0.13
FACL_4p18_2_2_stabConv.root, 25.24, 0.16
FACL_4p23_2_1_stabConv.root, 27.70, 0.13
FACL_4p05_2_1_stabConv.root, 27.55, 0.09
FACL_4p17_2_1_stabConv.root, 27.05, 0.08
FACL_4p00_2_1_stabConv.root, 27.67, 0.15
FACL_4p20_2_1_stabConv.root, 27.78, 0.11
FACL_4p16_2_1_stabConv.root, 27.53, 0.13
FACL_4p29_2_2_stabConv.root, 25.31, 0.19
