File_Name, Mean_Temperature, Std_Deviation
FACL_4p01_2_2_stabConv.root, 24.52, 0.14
FACL_4p04_2_2_stabConv.root, 25.87, 0.13
FACL_4p21_2_9_stabConv.root, 27.66, 0.15
FACL_4p09_2_1_stabConv.root, 26.89, 0.16
FACL_4p02_2_2_stabConv.root, 25.49, 0.13
FACL_4p13_2_2_stabConv.root, 24.59, 0.10
FACL_4p20_2_5_stabConv.root, 23.21, 0.25
FACL_4p07_2_1_stabConv.root, 26.00, 0.18
FACL_4p27_2_4_stabConv.root, 26.02, 0.12
FACL_4p11_2_3_stabConv.root, 25.91, 0.09
FACL_4p19_2_2_stabConv.root, 27.03, 0.13
FACL_4p14_2_2_stabConv.root, 27.88, 0.08
FACL_4p24_2_4_stabConv.root, 25.70, 0.09
FACL_4p15_2_2_stabConv.root, 28.32, 0.11
FACL_4p08_2_2_stabConv.root, 24.52, 0.16
FACL_4p18_2_3_stabConv.root, 25.34, 0.12
FACL_4p22_2_6_stabConv.root, 26.16, 0.15
FACL_4p06_2_3_stabConv.root, 25.81, 0.13
FACL_4p23_2_3_stabConv.root, 26.14, 0.14
FACL_4p05_2_3_stabConv.root, 25.92, 0.16
FACL_4p12_2_3_stabConv.root, 24.70, 0.10
FACL_4p17_2_2_stabConv.root, 25.53, 0.12
FACL_4p00_2_2_stabConv.root, 25.93, 0.15
FACL_4p16_2_2_stabConv.root, 25.58, 0.14
